"University","City","State","School","Degree","BusinessSchool","EngSchool","ScienceSchool","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"Texas Tech University","Lubbock","Texas","Business","Data Science",1,0,0,0,1,2015,12,12,12,12,36,20000,30000,22000,27,3,24,0.42,0.85,80,75,1,80000,6,4,6,2,1,3
"University of Denver","Denver","Colorado","Daniels College of Business","Business Information and Analytics",1,0,0,1,0,2014,12,12,12,24,58,61944,61944,61944,28,3.33,48,0.57,0.33,94,100,1,60000,8,5,3,2,2,4.83333333333333
"University of Denver","Denver","Colorado","Engineering","Analytics",0,1,0,1,0,2015,18,18,18,24,30,24000,40950,40950,24,3.5,12,0.44,0.72,95,50,0.91,86000,10,6,4,2,0,1.66666666666667
"University of Connecticut","Srorrs","Connecticut","Business","Business Analytics",1,0,0,1,0,2012,12,12,12,12,37,38850,38850,38850,25,3.4,24,0.49,0.72,98,75,0.92,82600,9,5,3,3,1,3.08333333333333
"George Washington University","Washington","District of Columbia","Business","Business Analytics",1,0,0,1,0,2013,16,12,16,24,33,60225,60225,60225,24,3.5,12,0.47,0.7,80,100,0.91,68000,8,4,7,2,2,2.0625
"Johns Hopkins University","Baltimore","Maryland","Arts and Science","Government Analytics",0,0,1,1,0,2014,16,16,16,24,36,50808,50808,50808,20,3.24,0,0.52,0.52,80,75,0.9,81753,10,2,5,3,0,2.25
"Merrimack College","North Andover","Massachusetts","Science and Engineering","Data Science",0,1,1,0,1,2015,12,7,12,16,32,17000,34200,31080,23,3,0,0.45,0.33,80,0,1,81753,5,3,3,3,0,2.66666666666667
"Maryville University","St. Louis","Missouri","Business","Business Data Analytics",1,0,0,1,0,2017,12,12,12,24,30,8937,11651.04,22950,23,3,0,0.35,0.7,80,0,1,69162,6,2,2,3,0,2.5
"Hofstra University","Hempstead","New York","Business","Business Analytics",1,0,0,1,0,2014,12,12,12,24,30,43000,39000,44610,23,3.24,0,0.44,0.1,99,75,1,60000,9,4,4,2,2,2.5
"North Carolina State University","Raleigh","North Carolina","Business","Analytics",1,0,0,1,0,2007,10,10,10,10,30,24352,47132,35500,25,3.66,12,0.37,0.1,80,50,1,60000,15,1,6,1,2,3
"Oklahoma State University","Stillwater","Oklahoma","Management","Business Analytics",1,0,0,1,0,2015,24,24,24,24,37,16150,40050,28100,23,3,36,0.25,0.387,89,75,0.9,81300,15,3,6,2,1,1.54166666666667
"University of Alabama in Huntsville","Huntsville","Alabama","College of Business","Management Science – Business Analytics",1,0,0,1,0,2016,12,12,18,24,30,12072,27008,19540,23,3,0,0.42,0.25,80,55,1,60000,9,4,5,2,0,2.5
"University of California at Berkely","Berkeley","California","School of information","Data Science",0,0,0,0,1,2014,12,12,12,24,30,20010,30000,34900,23,3.56,12,0.22,0.7,80,140,0.95,110000,7,3,5,2,0,2.5
"University of California, Irvine","Irvine","California","Business","Predictive Analytics",1,0,0,1,0,2015,24,24,24,24,30,46200,46200,46200,25,3.52,12,0.56,0.73,90,75,0.9,60000,10,6,5,1,0,1.25
"San Diego State University","San Diego","California","Human Dynamics","Big Data Analytics",0,0,0,1,1,2014,24,12,24,24,30,17844,32100,24972,23,3,0,0.56,0.8,80,70,1,81300,7,2,5,3,0,1.25
"University of Colorado Denver","Denver","Colorado","Business","Analytics",1,0,0,1,0,2014,24,24,24,24,30,17130,39450,39450,23,2.8,12,0.56,0.73,80,50,1,62879,8,4,6,2,0,1.25
"American University","Washington","District of Columbia","Business","Analytics",1,0,0,1,0,2015,24,12,24,24,33,59796,59796,59796,23,3,12,0.5,0.25,103,100,0.94,60000,8,3,6,3,0,1.375
"Florida International University","Mami","Florida","Science","Data Science",0,0,1,0,1,2015,12,12,12,24,30,14447,30828,22637.5,24,3,0,0.46,0.1,106,75,1,81753,3,1,7,1,0,2.5
"Emory University","Atlanta","Geogria","Business","Business Analytics",1,0,0,1,0,2014,10,12,12,24,33,53510,73800,75651,27,3.55,36,0.41,0.75,90,150,0.96,68000,1,2,6,1,2,3.3
"Purdue University","West Lafayette","Indiana","Business","Business Analytics & Information Management",1,0,0,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,0.42,90,75,1,81320,13,3,7,1,2,3.27272727272727
"University of Notre Dame","Norte Dame","Indiana","Business","Business Analytics",1,0,0,1,0,2015,10,10,10,10,30,53510,53510,53510,23,3.6,12,0.45,0.7,106,75,0.93,84305,9,6,6,1,0,3
"Stevens Institute of Technology","Hoboken","New Jersey","Business","Business Intelligence and Analytics",1,0,0,1,0,2012,15,15,15,24,36,37414,37414,37414,23,2.8,36,0.48,0.85,80,75,0.92,87500,8,4,6,3,0,2.4
"Seton Hall University","South Orange","New Jersey","Arts and Sciences","Data Science",0,0,1,0,1,2019,16,12,12,24,30,24300,49976,50096,23,3.32,0,0.3,0.85,90,75,1,108000,5,2,6,2,0,1.875
"Stockton University","Galloway","New Jersy","Business","Data Science and Strategic Analytics",1,0,0,1,1,2017,12,12,12,20,30,7295,11651.04,11651.04,23,3,0,0.48,0.74,80,50,1,81320,8,5,5,2,0,2.5
"Pace University","Plesantville","New York","Business","Customer Intelligence and Analytics",1,0,0,1,0,2013,24,24,24,24,36,48384,39000,48384,24,3.4,31,0.45,0.8,90,70,1,80265,3,1,7,1,0,1.5
"Syracuse University","Syracuse","New York","Business","Business Analytics",1,0,0,1,0,2015,24,18,24,24,39,60801,60801,60801,36,3,12,0.33,0.31,99,150,0.84,85200,10,6,5,2,0,1.625
"University of Cincinnati","Cincinnati","Ohio","Business","Business Analytics",1,0,0,1,0,2011,12,9,12,12,33,10479,21922,12438,26,3.53,0,0.35,0.84,106,60,0.96,81320,5,4,5,2,0,2.75
"Ohio University","Athens","Ohio","Business","Business Analytics",1,0,0,1,0,2015,20,16,18,20,30,35250,35820,35535,23,3,0,0.43,0.52,90,50,1,120931,7,1,4,2,0,1.5
"Southern Methodist University","Dallas","Texas","Business","Business Analytics",1,0,0,1,0,2014,9,9,9,17,33,77360,77360,77360,23,3.4,12,0.57,0.84,106,100,0.95,68000,8,6,3,2,0,3.66666666666667
"University of Dallas","Dallas","Texas","Business","Business Analytics",1,0,0,1,0,2015,12,12,12,36,30,37500,37500,37500,24,3,24,0.43,0.74,580,0,1,77499,7,3,3,4,0,2.5
"University of Notre Dame","South Bend","Indiana","Business","Data Analytics",1,0,0,1,0,2015,12,12,12,12,30,61405,61405,61405,30,3.5,24,0.57,0.67,101,100,0.93,85200,7,5,6,1,0,2.5
"Worcester Polytechnic","Worcester","Massachusetts","Business","Data Science",1,0,0,0,1,2014,12,12,12,24,33,28980,28980,28980,20,3,36,0.375,0.72,90,70,1,81753,9,3,7,2,0,2.5
"Boston University","Boston","Massachusetts","Business","Business Analytics",1,0,0,1,0,2013,24,24,24,24,45,102527,102527,102527,24,3.58,12,0.55,0.22,101,125,1,80000,3,3,6,1,0,1.875
"University of Missouri","Columbia","Missouri","Informatics Institute","Data and Analytics",0,0,0,1,0,2016,24,24,24,24,34,17000,17000,17000,23,3,0,0.42,0.31,80,50,1,80265,9,2,4,1,0,1.41666666666667
"University of New Hampshire","Durham","New Hampshire","Graduate School","Analytics",0,0,0,1,0,2015,11,11,11,11,36,27720,31680,29700,31,3,0,0.41,0.24,80,75,1,78125,10,5,6,1,0,3.27272727272727
"Binghamton University","Binghamton","New York","Business, Engineering, Science","Data Analytics",1,0,0,1,0,2018,10,10,10,10,30,15400,31000,26466.67,23,3,24,0.45,0.7,80,50,1,85200,5,4,6,1,0,3
"University of North Carolina at Charlotte","Charlotte","North Carolina","Computing and Informatics","Data Science and Business Analytics",0,0,0,1,1,2015,15,15,18,24,33,7295,13976,10635.5,20,3,36,0.54,0.4,90,75,1,120000,9,4,7,3,0,2.2
"University of North Carolina, Wilmington","Wilmington","North Carolina","Business","Data Science",1,0,0,0,1,2016,16,16,16,16,36,4041.65,10511.91,7276.78,25,3,0,0.45,0.22,100,0,1,85200,10,6,4,1,0,2.25
"University of Oklahoma","Norman","Oklahoma","Engineering","Data Science and Analytics",0,1,0,1,1,2015,14,14,12,14,33,24000,24000,24000,26,3,0,0.46,0.19,80,70,1,50000,10,3,7,3,0,2.35714285714286
"University of North Texas","Denton","Texas","Business","Business Analytics",1,0,0,1,0,2015,10,10,10,10,36,13502,28442,28442,26,3.6,12,0.52,0.42,90,0,1,71055,9,6,3,3,0,3.6
"University of the Pacific","Stockton","California","Engineering and Computer Science","Data Science",0,1,0,0,1,2015,18,18,18,18,32,48352,48352,48352,20,3,6,0.55,0.85,80,75,1,68153,7,3,4,1,0,1.77777777777778
"University of Rochester","Rochester","New York","Arts and Sciences","Data Science",0,0,1,0,1,2015,9,9,9,9,30,47880,47880,47880,24,3.12,24,0.45,0.6,80,75,1,77499,6,5,7,1,0,3.33333333333333
"City University of New York","New York","New York","Business","Business Analytics",1,0,0,1,0,2013,12,12,12,24,34,9320,20010,33420,23,3,6,0.43,0.85,80,0,1,80000,3,1,1,2,0,1.5
"Charleston Southern University","Charleston","South Carolina","Adult and Professional Studies","Analytics",0,0,0,1,0,2014,12,12,18,24,30,19500,21958,19500,23,3,1,0.56,0.4,106,75,1,81320,6,3,5,1,0,2.5
"Clemson University","Clemson","South Carolina","Business and Science","Data Science and Analytics",1,0,1,1,1,2014,18,18,24,30,30,51000,51000,51000,24,3.56,0,0.33,0.85,80,75,1,108000,5,2,2,4,0,1.66666666666667
"University of Texas at Arlington","Arlington","Texas","Business","Business Analytics",1,0,0,1,0,2015,12,12,12,12,36,18256,37756,28006,24,3,24,0.49,0.6,90,50,1,77601,4,3,7,1,0,3
"University of Texas- Dallas","Richardson","Texas","Business","Analytics",1,0,0,1,0,2014,16,12,16,24,36,43000,43000,43000,24,3.45,0,0.57,0.7,90,75,0.95,105000,4,2,5,2,0,2.25
"University of Washington","Seattle","Washington","Science","Data Science",0,0,1,0,1,2017,12,12,18,24,33,46125,46125,46125,23,3,0,0.45,0.6,80,75,1,60000,4,5,3,2,0,2.75
"University of Washington Tacoma","Tacoma","Washington","Science","Business Analytics",0,0,1,1,0,2017,12,12,12,12,40,24440,30440,27440,23,3,0,0.45,0.8,90,0,1,80000,6,1,2,1,0,3.33333333333333
"University of Wisconsin–Extension, Extension now merged with Madison","Madison","Wisconsin","Extension","Data Science",0,0,0,0,1,2015,12,12,12,24,36,27900,27900,27900,26,3,0,0.41,0.33,80,0,1,80000,11,5,4,3,0,3
"Grand Canyon University","Phoenix","Arizona","Colangelo College of Business","Business Analytics",1,0,0,1,0,2014,18,18,24,24,38,33000,33000,33000,24,3,0,0.56,0.73,90,0,0.92,81911,3,1,3,3,0,2.11111111111111
"George Washington University","Washington","District of Columbia","Arts and Science","Data Science",0,0,1,0,1,2015,12,12,12,12,30,54750,54750,54750,18,3.55,12,0.41,0.24,95,75,1,81753,6,2,5,1,0,2.5
"Georgetown University","Washington","District of Columbia","Arts and Science","Analytics",0,0,1,1,0,2015,16,12,16,36,30,66420,66420,66420,23,3.43,6,0.45,0.25,105,100,1,60000,9,3,7,2,2,1.875
"Elmhurst College","Elmhurst","Illinois","Technology","Data Science",0,0,0,0,1,2014,24,24,24,24,30,26550,26550,26550,23,3.2,0,0.57,0.72,80,60,1,120000,3,2,6,2,2,1.25
"University of Notre Dame",NA,"Indiana","Science","Data Science",0,0,1,0,1,2014,21,21,21,21,30,52000,52000,52000,23,3,0,0.41,0.67,80,75,1,80000,7,1,5,2,0,1.42857142857143
"Fordham University","Bronx","New York","Business","Business Analytics",1,0,0,1,0,2012,12,12,12,24,30,44130,44130,49645,23,3.5,24,0.42,0.19,90,75,1,120931,5,2,6,2,1,2.5
"Fordham University","Bronx","New York","Art and Science","Data Analytics",0,0,1,1,0,2016,12,12,12,24,30,44130,44130,29160,24,3,0,0.35,0.72,80,50,1,60000,9,2,7,2,1,2.5
"Harrisburg University of Science and Technology","Harrisburg","Pennsylvania","Science","Analytics",0,0,1,1,0,2013,24,24,24,24,36,16150,10511.91,13005.5,24,3,0,0.3,0.85,90,0,1,60000,3,1,1,1,0,1.5
"University of Pennsylvania","Philadelphia","Pennsylvania","Engineering","Data Science",0,1,0,0,1,2015,21,18,21,24,30,75940,75940,75940,23,3,6,0.56,0.6,80,80,0.9,80000,9,0,5,1,0,1.42857142857143
"University of North Texas","Denton","Texas","Information Science","Data Science",0,0,1,0,1,2015,12,12,12,24,39,24243,24300,19540,24,2.89,0,0.35,0.24,80,75,1,120931,4,1,6,1,0,2.5
"Mercer University","Atlanta","Geogria","Business and Economics","Business Analytics",1,0,0,1,0,2015,15,15,15,16,39,34515,34515,28353,32,3.32,24,0.44,0.33,80,50,1,81753,3,1,3,1,0,2.6
"Loyola University- Maryland","Baltimore","Maryland","Business","Data Science",1,0,0,0,1,2015,24,12,24,36,31,31000,31000,31000,23,3.52,3,0.35,0.24,80,60,1,73533,8,6,2,2,0,1.29166666666667
"Massachusetts Institute of Technology","Cambridge","Massachusetts","Management","Business Analytics",1,0,0,1,0,2016,12,12,12,12,30,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,0.92,60000,7,5,8,3,2,2.5
"Merrimack College","North Andover","Massachusetts","Business","Business Analytics",1,0,0,1,0,2014,12,12,12,16,32,30464,30464,30464,26,3,0,0.45,0.72,100,0,1,73533,5,6,4,1,0,2.66666666666667
"Michigan Technological University","Houghton","Michigan","Graduate School","Data Science",0,0,0,0,1,2015,12,12,12,24,30,45452,45452,45452,25,2.89,36,0.5,0.6,80,75,1,60000,8,0,6,1,0,2.5
"New Jersey City University",NA,"New Jersey","Business","Business Analytics and Data Science",1,0,0,1,1,2016,16,16,12,24,33,22737,40053,40053,23,3.6,0,0.56,0.24,90,55,1,60000,3,1,7,2,0,2.0625
"Mercyhurst University","Erie","Pennsylvania","Intelligence Studies and Applied Sciences","Data Science",0,0,0,0,1,2015,21,21,21,21,36,37000,37000,31500,24,3.2,0,0.3,0.52,90,0,1,108000,4,1,2,1,0,1.71428571428571
"Regis University","Denver","Colorado","Computer and Information Sciences","Data Science",0,0,1,0,1,2015,12,12,12,24,36,34200,34200,34200,24,3,36,0.42,0.31,80,75,1,68153,6,2,2,3,0,3
"Quinnipiac University","Hamden","Connecticut","Business","Analytics",1,0,0,1,0,2014,12,12,12,12,30,13556,12786,35535,24,2.6,0,0.35,0.24,80,45,1,78125,6,3,4,1,0,2.5
"Embry-Riddle Aeronautical University","Daytona Beach","Florida","Arts and Sciences","Data Science",0,0,1,0,1,2015,12,12,12,24,30,25262,26550,7276.78,23,3,0,0.56,0.24,80,0,1,50000,4,1,4,4,0,2.5
"Rowan University","Glassboro","New Jersey","Science & Mathematics","Data Analytics",0,0,1,1,0,2016,12,12,12,24,30,17000,11860,15276,23,3,6,0.45,0.75,80,50,1,60000,1,1,6,1,0,2.5
"Rutgers","New Brunswick","New Jersey","Science","Business & Science",0,0,1,0,0,2012,18,18,24,48,43,43645,54008,48826.5,23,3.4,12,0.3,0.74,80,70,0.9,81753,6,3,6,4,0,2.38888888888889
"Drew University","Madison","New Jersey","Graduate School","Data Analytics",0,0,0,1,0,2019,36,12,24,36,30,4041.65,33420,19227,23,3,0,0.7,0.25,80,35,0.95,69162,5,1,2,3,0,0.833333333333333
"Rensselaer Polytechnic Institute","Troy","New York","Business","Business Analytics",1,0,0,1,0,2013,24,24,24,24,36,34900,34900,34900,24,3.5,0,0.56,0.8,90,0,1,73856,5,6,3,1,1,1.5
"Penn State Great Valley","Devault","Pennsylvania","Graduate Professional Studies","Data Analytics",0,0,0,1,0,2015,36,36,36,36,30,27900,27900,27900,23,3.2,0,0.45,0.25,80,65,1,62879,7,2,6,1,0,0.833333333333333
"Saint Joseph’s University","Philadelphia","Pennsylvania","Business","Business Intelligence and Analytics",1,0,0,1,0,2010,12,12,12,24,30,33210,18296,33210,23,3,12,0.37,0.25,80,50,0.96,87500,8,2,6,3,0,2.5
"Duquesne University","Pittsburgh","Pennsylvania","Business","Analytics and Information Management",1,0,0,1,0,2015,36,12,24,36,30,29730,29730,29730,23,3,0,0.3,0.33,80,50,1,120931,3,1,4,4,0,0.833333333333333
"Benedictine University","Lisle","Illinois","Business","Business Analytics",1,0,0,1,0,2013,24,12,24,24,64,27720,73800,22110,24,3.5,12,0.42,0.52,99,75,1,81911,4,2,1,2,0,2.66666666666667
"Louisiana State University","Baton Rouge","Louisiana","Business","Analytics",1,0,0,1,0,2011,12,12,12,12,36,17000,38300,27650,25,2.54,0,0.43,0.42,80,50,1,80265,7,2,7,3,1,3
"University of Massachusetts at Lowell","Lowell","Massachusetts","Manning School of Business","Business Analytics",1,0,0,1,0,2016,12,12,16,24,30,25266,44900,35083,24,3,0,0.43,0.1,90,75,1,60000,8,3,507,2,0,2.5
"Boston University","Boston","Massachusetts","Metropolitan College","Applied Business Analytics",0,0,0,1,0,2016,18,18,22,24,40,24300,24024,19008,23,3.6,12,0.4,0.85,80,85,1,60000,2,2,6,4,0,2.22222222222222
"Bellevue University","Bellevue","Nebraska","Business","Business Analytics",1,0,0,1,0,2015,24,24,24,24,36,21060,21060,21060,23,3,0,0.4,0.24,90,60,1,73856,9,1,6,2,0,1.5
"University at Albany","Albany","New York","Mathematics & Statistics","Data Science",0,0,1,0,1,2018,12,12,12,24,36,5655,11550,8602.5,23,3,0,0.42,0.52,90,0,1,110000,8,1,1,1,1,3
"Appalachian State University","Boone","North Carolina","Business","Applied Data Analytics",1,0,0,1,0,2016,12,12,12,24,36,11500,24932,18216,23,3,3,0.45,0.7,90,65,1,77499,5,5,8,2,0,3
"Bowling Green State University","Bowling Green","Ohio","Graduate College","Analytics",0,0,0,1,0,2014,12,12,12,12,33,15642,26946,21294,24,2.6,0,0.4,0.52,90,45,1,77499,5,3,7,1,2,2.75
"University of Tulsa","Tulsa","Oklahoma","Collins College of Business","Master of Science in Business Analytics",1,0,0,1,0,2015,16,16,15,24,30,39300,39300,39300,23,3.5,0,0.35,0.42,80,55,1,85200,9,4,6,2,0,1.875
"Temple University","Philadelphia","Pennsylvania","Fox School of Business","Master of Science in Business Analytics",1,0,0,1,0,2014,12,12,36,60,30,33420,33420,33420,23,3,0,0.56,0.72,80,75,0.769,50000,10,4,5,2,1,2.5
"University of Miami","Miami","Florida","Business","Business Analytics",1,0,0,1,0,2014,10,10,10,10,31,60760,60760,60760,23,3.5,12,0.54,0.24,100,75,1,84305,8,6,4,1,0,3.1
"University of Illinois at Chicago","Chicago","Illinois","Liautaud Graduate School of Business","Business Analytics",1,0,0,1,0,2016,12,12,18,24,32,5740,11860,8800,23,3,12,0.35,0.84,80,0,1,50000,1,1,5,2,0,2.66666666666667
"DePaul University","Chicago","Illinois","Computing","Data Science",0,0,0,1,0,2016,24,12,12,24,30,20215,11651.04,22110,23,3.2,0,0.57,0.1,80,0,1,60000,9,3,1,2,2,2.5
"University of Iowa","Iowa","Iowa","Business","Business Analytics",1,0,0,1,0,2015,16,16,12,24,45,30813.75,49713.75,40263.75,24,3,0,0.25,0.19,80,75,0.91,77499,10,3,6,2,0,2.8125
"University of Kansas Edwards Campus","Kansas","Kansas","Medical Center","Applied Statistics and Analytics",0,0,0,1,0,2015,12,12,12,12,30,20010,20010,20010,23,3,0,0.45,0.33,90,60,1,105000,5,2,6,3,0,2.5
"University of Massachusets, Boston","Boston","Massachusetts","Business","Business Analytics",1,0,0,1,0,2015,10,10,10,10,31,60760,60760,60760,23,3.5,24,0.22,0.25,80,75,1,84305,10,6,4,1,0,3.1
"University of Michigan at Dearborn","Dearborn","Michigan","Business","Business Analytics",1,0,0,1,0,2012,12,12,12,24,30,17000,24024,7276.78,27,3.32,29,0.35,0.74,79,75,1,81911,5,2,6,2,0,2.5
"University of Minnesota","Mnneapolis","Minnesota","Science and Engineering","Data Science",0,1,0,0,1,2015,16,16,24,24,31,33456,51768,42612,23,3,1,0.48,0.1,80,0,1,60000,7,5,7,4,0,1.9375
"Seton Hall University","South Orange","New Jersey","Business","Business Analytics",1,0,0,1,0,2019,18,18,24,24,30,21060,27900,21060,23,3,12,0.35,0.72,80,75,1,80000,8,3,3,1,0,2.5
